"","X","School","County","Date","Days","days"
"1",1,"Frankfort CUSD 168","Franklin","8/31/2016","6",6
"2",2,"Streator ESD 44","LaSalle","9/3/2016","9",9
"3",3,"Zeigler Royalton CUSD 188","Franklin","9/14/2016","20",20
"4",4,"Pembroke CCSD 259","Kankakee","10/1/2016","37",37
"5",5,"Meridian CUSD 101","Pulaski","10/1/2016","37",37
"6",6,"Tamaroa School Dist 5","Perry","10/16/2016","52",52
"7",7,"Hardin County CUSD 1","Hardin","10/21/2016","57",57
"8",8,"Brooklyn UD 188","St Clair","10/25/2016","61",61
"9",9,"Elverado CUSD 196","Jackson","10/28/2016","64",64
"10",10,"Grand Prairie CCSD 6","Jefferson","10/29/2016","65",65
"11",11,"Momence CUSD 1","Kankakee","10/29/2016","65",65
"12",12,"Dongola USD 66","Iroquois","11/6/2016","73",73
"13",13,"Braceville SD 75","Grundy","11/8/2016","75",75
"14",14,"Duquoin CUSD 300","Perry","11/8/2016","75",75
"15",15,"Cahokia CUSD 187","St Clair","11/9/2016","76",76
"16",16,"Madison CUSD 12","Madison","11/10/2016","77",77
"17",17,"Kankakee SD 111","Kankakee","11/12/2016","79",79
"18",18,"Red Hill CUSD 10","Lawrence","11/13/2016","80",80
"19",19,"Harrisburg CUSD 3","Saline","11/16/2016","83",83
"20",20,"Georgetown Ridge Farm CUD 4","Vermilion","11/21/2016","88",88
"21",21,"Willow Grove SD 46","Clinton","11/22/2016","89",89
"22",22,"DePue USD 103","Bureau","11/28/2016","95",95
"23",23,"Wabash CUSD 348","Wabash","11/29/2016","96",96
"24",24,"Central City SD 133","Marion","12/1/2016","98",98
"25",25,"Sandoval CUSD 501","Marion","12/1/2016","98",98
"26",26,"Hamilton Co CUSD 10","Hamilton","12/7/2016","104",104
"27",27,"Murphysboro CUSD 186","Jackson","12/14/2016","111",111
"28",28,"Eldorado CUSD 4","Saline","12/16/2016","113",113
"29",29,"Vienna SD 55","Johnson","12/17/2016","114",114
"30",30,"Allendale CCSD 17","Wabash","12/19/2016","116",116
"31",31,"East Alton Wood River CHSD 14","Madison","12/20/2016","117",117
"32",32,"Chester CUSD 139","Randolph","12/20/2016","117",117
"33",33,"Norris City Omaha Enfield CUSD 3","White","12/20/2016","117",117
"34",34,"Herrin CUSD 4","Williamson","12/20/2016","117",117
"35",35,"Waukegan CUSD 60","Lake","12/23/2016","120",120
"36",36,"Unity Point CCSD 140","Jackson","12/24/2016","121",121
"37",37,"Odin PSD 722","Marion","12/24/2016","121",121
"38",38,"Princeton ESD 115","Bureau","12/25/2016","122",122
"39",39,"Benton CCSD 47","Franklin","12/25/2016","122",122
"40",40,"Bethalto CUSD 8","Madison","12/28/2016","125",125
"41",41,"Farrington CCSD 99","Jefferson","12/30/2016","127",127
"42",42,"Burnham SD 154 5","Cook","1/1/2017","129",129
"43",43,"North Greene CUSD 3","Greene","1/1/2017","129",129
"44",44,"Rock Falls ESD 13","Whiteside","1/1/2017","129",129
"45",45,"Centralia HSD 200","Marion","1/2/2017","130",130
"46",46,"Triad CUSD 2","Madison","1/3/2017","131",131
"47",47,"Gillespie CUSD 7","Macoupin","1/4/2017","132",132
"48",48,"Mount Olive CUSD 5","Macoupin","1/5/2017","133",133
"49",49,"Centralia SD 135","Marion","1/5/2017","133",133
"50",50,"South Pekin SD 137","Tazewell","1/5/2017","133",133
"51",51,"Dolton SD 149","Union","1/5/2017","133",133
"52",52,"Belleville SD 118","St Clair","1/6/2017","134",134
"53",53,"Alton CUSD 11","Madison","1/7/2017","135",135
"54",54,"City of Chicago SD 299","Cook","1/10/2017","138",138
